"","day","active_tasks_adherence","at_spatialtask","at_tapcount","daily_survey_adherence","ds_emotion_arousal","ds_emotion_valence","ds_freetime","ds_loneliness","ds_new_exciting","ds_optimism","ds_stress"
"1",1,1,2.67045459023211,72,1,-2,-4,0,1,2,0,1
"2",2,1,3.11254940989893,85,1,0,0,4,2,0,2,2
"3",3,1,2.58648132253438,82,0,NA,NA,NA,NA,NA,NA,NA
"4",4,1,1.54134088226128,36,1,2,4,16,4,0,3,0
"5",5,1,2.67956027912442,78,0,NA,NA,NA,NA,NA,NA,NA
"6",6,0,NA,NA,1,1,3,2,2,2,1,2
"7",7,0,NA,NA,1,4,0,16,1,1,2,1
"8",8,1,1.92309961412102,98,0,NA,NA,NA,NA,NA,NA,NA
"9",9,1,2.93501385108102,43,1,2,3,6,1,0,2,4
"10",10,0,NA,NA,1,1,-5,3,2,1,1,2
"11",11,1,1.44451349279843,27,1,0,-2,10,2,0,0,0
"12",12,1,2.48994270458352,123,1,2,2,8,1,1,3,0
"13",13,1,1.54253900991753,49,1,-2,3,6,3,2,3,1
"14",14,0,NA,NA,1,0,-1,6,1,4,2,3
"15",15,1,2.06171780731529,65,0,NA,NA,NA,NA,NA,NA,NA
"16",16,0,NA,NA,1,-1,-2,2,1,0,0,1
"17",17,1,0.882084494479932,62,1,-5,1,0,4,0,1,1
"18",18,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"19",19,1,1.40325248553418,117,0,NA,NA,NA,NA,NA,NA,NA
"20",20,0,NA,NA,1,3,0,1,3,0,2,4
"21",21,1,0.819576933584176,57,0,NA,NA,NA,NA,NA,NA,NA
"22",22,0,NA,NA,1,-3,-2,2,2,0,0,2
"23",23,1,2.67905031782575,48,0,NA,NA,NA,NA,NA,NA,NA
"24",24,1,1.6367073467467,108,0,NA,NA,NA,NA,NA,NA,NA
"25",25,0,NA,NA,1,3,-2,3,1,2,3,3
"26",26,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"27",27,0,NA,NA,1,3,3,15,3,4,2,1
"28",28,1,2.04395479720552,114,1,-2,0,15,3,1,1,1
"29",29,1,1.47784709876869,128,0,NA,NA,NA,NA,NA,NA,NA
"30",30,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
